uid,bucket,n_sents,V_u_total,V_u_d3,V_u_d4,V_u_p3
AHV4U76XGHXA4RBBXSPEENTVH2YQ,1,107,901,156,306,439
AGBCUH6OF5SMVV6ED5G66Q4QWI4Q,1,111,1142,168,414,560
AGQNPHVDHICIZIBMSI3ECYO4RTDA,1,111,871,154,302,415
AFPT7MUXVAM4NE4IKGKSXS6G3AOQ,1,108,941,163,305,473
AELR4ZISE4URDI56E3XVN7AP422A,1,109,874,161,310,403
AFAFPVBZWY74XHOKAX7AYGC77YUQ,1,108,891,138,324,429
AGVM37ENJ7TA4BJ4LRWQKQPMH64Q,1,109,1002,165,358,479
AFWZ7MZXTZ4GG6AP2LLNEOTBDA7Q,1,107,875,159,312,404
AGE6JTC6BUGXNMZONP632XOJH2NA,1,109,939,150,333,456
AH4IDFVWP6NCHZFCONC4EKN63YUQ,1,107,851,145,286,420
AFP4XV2TPIF2DYR7MDS3ABENVU4A,1,106,647,114,221,312
AFIYJLRZHK7C4B5QSZAGSGZVVAJA,1,106,746,130,278,338
AHQWSREBML5RH7GZCFX6L57DDMHQ,1,109,1028,171,374,483
AE6G64ZJUAFLSNHPZSGGEEKYTFGQ,2,119,756,131,279,346
AGLDJAFXAECQPHKDFOYDLI42RKDA,2,114,828,149,293,386
AE2662WNZYL2ZMFHDKGGCCHMGMGQ,2,114,813,130,281,402
AHHBH4VPAVBILY6UAS4LQVX2ZTKA,2,119,1070,184,379,507
AHWAVTDTHEKLCOWMFZ2MCLGVYZUA,2,113,795,140,283,372
AET3GRVVMHEXRXTSBFFWSY3HQEMQ,2,112,963,185,347,431
AEUNI3OFLTJG7LZNVHXLKXSOLO7A,2,112,769,142,271,356
AGQE2TFMRL2MM6S3JAMA4GXWYQLA,2,115,985,158,350,477
AF4CNAUOROUP6WQEHMP7DWVB3KFQ,2,119,797,135,283,379
AGI53IW32Q3RJYKUFQGA36JMCOKQ,2,116,726,119,252,355
AEYVBSVXB2M76M3HEX4PNF7GWK2A,2,115,1127,179,391,557
AERILPVOZA5OUHF3XWFWFB7EV6KQ,2,115,946,152,337,457
AG6WVGUFXMF4LIAR7IDGHQV2DI5Q,2,115,884,155,301,428
AH53UQYKESG5SJQD63N4KYJXUEHA,2,114,906,164,306,436
AH43LZPH7256CHBSEDLZL4D3XWSA,2,117,864,142,313,409
AE2J5DDVCHVMRBD7BJ24ETJFQSOA,2,115,831,144,292,395
AEC6HDXIX3DNXWUVERZB4DGKFN2Q,2,116,924,157,328,439
AGCVRCNB4FGVZI5N2Z7CLE5PUGNA,2,119,893,149,326,418
AE756PEH3Q7CWIDVLOGLUM6KIEPA,2,118,892,158,304,430
AEPPMFJUVGGQXIB64J6C5DNF7CJA,2,114,939,158,321,460
AEDJRZNH4XDXHVSXYQOBNR4X2PAA,2,119,705,125,236,344
AGBHFHIPZEFAMWYB754QZ6OQLJUQ,2,119,761,125,265,371
AE7VDEI2MEZDY7YGDKQSSZ4CU4LA,2,114,1108,189,392,527
AFRRE6V4BFGXPS2RFRZNAMSUH2QQ,2,112,758,128,250,380
AFOTJXRQDUCKYFT2PPHRCVFKDN7A,2,119,989,162,338,489
AHCFLUHDCLAHZU6AHAJ4C7MPA4EA,2,116,1022,161,372,489
AFR7G3N4UVC76GTHQP63TKQLX4TQ,2,114,850,153,294,403
AFCB2RZXCJKPRGE44SMQQUEGXHNQ,2,117,653,120,230,303
AF6QAHEJL6WEQHIO2PWQNPNPJIRQ,2,118,646,109,216,321
AF5GRAZOLOUIUPODTWQVJDYF4AZA,2,113,867,135,314,418
AEZ46SSKY4A7ESP3QNEZQRLA2Y5Q,3,121,1133,202,392,539
AEC4WROC543KSOU7GOBC2DDXND7Q,3,123,734,126,268,340
AFPIOO2UG44UOTC46QKKSHX4SGWQ,3,124,930,162,319,449
AGARAGBTDWJVZAZH2DJZDDS4CQQQ,3,126,1091,171,374,546
AFKX24ALWAPX366KX6DWTOBWLQAA,3,125,1034,180,364,490
AFM3KHXL5LZH6SKJSF2BMJYF3SQQ,3,126,1185,195,422,568
AHRSEQIU4DBPAPKJDIYAWCYBYPSQ,3,127,1020,169,362,489
AGFCGZLKAE6D7XDIRA57POPSG4BA,3,120,1215,212,432,571
AFXQNAXCDTJ2SQDCNSM5ZGBKQJ7A,3,128,1109,194,392,523
AHIS5MNAQJU5EVZAMG4FG7DEFJVQ,3,123,943,156,343,444
AHXUNS4RYQXI2O4FLAKVE7FA5TBQ,3,124,975,158,351,466
AGYITYRAKLJ2Y6B36QH5XC3MH7EQ,3,120,1106,183,397,526
AFU7OPCX5SYLPSLCFPGBVX7ZDS4Q,3,120,837,140,279,418
AHKLYD5GR4BP4K65HR6EGXRNP47A,3,124,924,147,324,453
AE7JBM6K7UPOFSXSCXY2VAWFWD4A,3,120,960,160,341,459
AFMOMWWWDGAQLHVFQBCQVJPG46CQ,3,126,789,138,277,374
AEMXI5DX7EYO7YHIWRHZQHLRPJGA,3,124,1168,184,392,592
AF7KGUAKKGFQFTGJUCYUC5IKM3XA,3,122,764,132,277,355
AG2BRLCY7NVOZ33KD33PGIIJF4LA,3,121,686,99,238,349
AF63GHTZBFUQTJPVNLMYMBCRQRJA,3,123,801,127,268,406
AH5NA6LIKHFQO3CDP6LULJT6VLYA,3,126,943,154,333,456
AFCXZMRKPFASNFASWKYGQA3KOFSA,3,124,887,147,300,440
AFVAHM7UHYS562TQASNXXH6OJNTQ,3,121,855,146,288,421
AGMD2HXCJJ4AGXVO5KGN7WQOQV6A,3,124,1019,166,356,497
AGRC7GGSEM62JUMADAPRDMWK63TA,3,123,963,170,332,461
AEHXKS3UWSNEK2WDJQQH54O7ZAZQ,3,124,761,125,266,370
AHT6AM6BNIZUHFJB5V2M6XM72G7Q,3,120,724,115,251,358
AES2TITGKXHZZPQ6NQQXHK5RQP3Q,3,125,790,128,295,367
AG2TTN372SIFA43IEXZRPCN7B5HQ,3,122,933,154,321,458
AESYTHEUCGQZR4QSELPK5RI6CSLA,3,127,858,141,297,420
AECPXFEX6RCWCRBOIJKTR5LFXW6Q,4,132,968,190,338,440
AEB5WZLYV6NTC6TQPWVOCRS4JYBA,4,139,1043,181,362,500
AEAD7ZP6VV4IJL2Z2HVIRVEBHZJA,4,136,897,154,315,428
AGYOOOF3X6KSMLZIWBPMMQGAC5FQ,4,132,1066,182,366,518
AEEX3WVJK5TGMRJ43V7IOI63JOFA,4,134,811,133,281,397
AFNUHCITVPCKVVAAYVQH4JNECFWA,4,141,972,158,324,490
AE3A6XP5TAMJ3GBGD52QK5APNR2Q,4,129,1183,192,408,583
AHJSQA5D46FZG52CO4WPJTGRMIBQ,4,131,713,123,255,335
AGBCW524EY75I4GQ3NX2SJA5TOQA,4,140,1047,169,391,487
AHC2NI7LIVUJYCFAIXBPANTPTPQQ,4,137,855,142,314,399
AGKTK5ONWYWZ25UKBIWRGJTLLH2Q,4,137,859,139,306,414
AFWKPVOLEYTBZNW6FRJ4C4VJ76DA,4,132,1036,163,355,518
AF6VJYLVYJCQIXUEIBSVKZGRUGVA,4,130,1129,182,405,542
AHMGXQ4SWFPAMMIL7HMV2B5JXRRA,4,135,908,144,313,451
AGZS56ZTPGFUCMXBRIJ3OAGH3KZQ,4,131,892,147,311,434
AFG4FX7JY6KEFFNXB2YGSIZ7HWHQ,4,131,1107,188,384,535
AHJCSM7OYYT5AC3YPOKL3VNKNMNA,4,141,1097,186,395,516
AEQKWYUMGE4XQ2LIM43ACOBFGRKA,4,137,820,136,297,387
AHY5FPL6HYSJSWRQ4555NGCOHSYA,4,132,793,135,272,386
AHDPI35VZ3SH2VZVGOYJS52LPVAQ,4,133,931,159,322,450
AGCVOYO6WC6M4KYGVG4NC5VNNZPQ,4,133,867,130,286,451
AH7HCMRSHZCML7WGBJP3YPNTPLSA,4,130,780,126,258,396
AF6J5S76N3E52XNARY66M2ITNNZA,4,139,948,155,320,473
AE4RGAHEK5Y6XTJKQBUVDR6K32ZQ,4,134,712,121,258,333
AH6URM6URQ2EKVJMCPE3XZXRCIUQ,4,132,1001,164,361,476
AFRPWBSVEF2BQMQTKA33SMTXJI6Q,4,140,1092,192,360,540
AHDLM7R2LUNV4NASNZDDK3WZ4FEQ,4,133,661,116,222,323
AHQYNYYZWPQ6F42O5XVCA54P7ACA,4,133,942,135,328,479
AGECX44JOL7NOUX2N3F5WXVXVBRA,4,131,1162,200,403,559
AF7YPDDSITOLXXOX6JM7HYLUXK4Q,4,138,864,154,297,413
AERGQ6U7YCR6JZ54FFKYPUM7PFDQ,5,146,900,155,327,418
AH64ZXDWRRKT3RN6OI3Q4WNFBKWA,5,155,1024,166,355,503
AEHW3XPN4OAJTCRSJFMQM3GB2MSA,5,145,970,159,331,480
AFBOXU6QKQGVJP6M4THIHE66BMCA,5,143,926,152,308,466
AGKLWN6DDVBZBLGPZQMUJ4JPQZGQ,5,152,970,150,323,497
AHSTHVDE6D2AV6M5NYKF2V2ZZUDA,5,155,874,155,301,418
AER6II7VS3FHCWLZZTNXHXBZCMEA,5,145,816,132,294,390
AGDQR7EYHX5Z7Q6OCXXTGHQZV7EA,5,146,785,122,271,392
AE6U2ZCGCBRDU3TT3PVH44ITRLOA,5,147,1262,226,449,587
AGFSGNZ5OXN5SAOTL73LFINSBIAA,5,151,1199,195,412,592
AGH5UEOJXJR5CMN33VMPDCEFBQAQ,5,153,1015,161,342,512
AGYIFIF36UAWEBK4TO7X4MGJNAPA,5,146,959,155,337,467
AEBP2Q4O2JGI5KXYM25VW4I6MUCA,5,144,746,118,272,356
AFWVQJYN5QXGDXIGEQDKTJIAOFQQ,5,144,1009,162,357,490
AFHBDFGDRJW3S3M5Q75Q6KV2URLA,5,146,1107,188,391,528
AFAUF3KITTRYFEHRBT7TECXPB4PQ,5,154,960,167,345,448
AEBVIJZLUXIBEZ25ZQLG4SPFVMVQ,5,153,1022,166,368,488
AEATS3SIIP2OTQBJ4LHYHQOG3I4Q,5,145,1128,207,390,531
AG4QQGPDZIE3Y3HF3QYWOBWBH2QA,5,149,1036,162,345,529
AFRPIQB4EY3I33OXHAWYPDLRKHQQ,5,156,977,143,323,511
AFHZYGTGYN4MY4HW2P3K5U7FMVUA,5,148,1279,211,452,616
AHWQ7NF7NNOI53VYRHMNOLHHT4YA,5,149,960,149,329,482
AG4F2ZYQNVQG7M6GYNFPTV72IR6Q,5,157,1009,174,363,472
AFVV7CLXY43P3Z3F7SROBZATZVSQ,5,156,1152,183,403,566
AH254KLJJLFZUUSWU6STN7PMKS7A,5,159,1392,232,500,660
AFMKYJEEGTOYLGNBX6B7FZIKC3RA,5,148,899,158,328,413
AHMAGO6RME5BNQIVWP56IIWELOJA,5,148,1156,191,407,558
AEWUN4XMRUYX4XWVL5WRLMEMAFOA,5,158,1174,204,427,543
AEHY474ZXCBIST6LCUFKNRSXON2Q,5,142,851,145,307,399
AHW755HALUYCUV4XZ6VN6JN6STRA,5,143,1041,166,377,498
AFFU7MCUYCZCDWNRLM2S46JEI2EA,6,179,1307,221,458,628
AG6WNZI5AD2JASG4KJ6XKCEB5YBA,6,168,1004,174,353,477
AH27HGQKIHLIJMZEZKPFNGOU35EQ,6,166,837,156,302,379
AFGRAUIXGHWO224SV5YN3TNEUMJA,6,164,793,141,272,380
AFAI3A7XWPRB2BRZWPRJJO5FP45Q,6,165,1170,194,396,580
AGKMJKWW2AZPOJGCZGHMNYONC33Q,6,174,745,124,259,362
AG3KFKJCPSYRVYN5PN5NEQJS4V3A,6,163,1368,230,497,641
AGGNEZJKG35QXGBIZADSSC2QNPGA,6,167,1056,176,363,517
AHCMBEGSVFSUHRNRYBQ7L5URHCYA,6,175,1000,172,350,478
AEJUY5D3YNQ3FAOIZP3FBOJMPCCQ,6,186,1138,179,398,561
AHF575RNOU3ATD7PN73Y6ML7QD4Q,6,164,787,127,278,382
AFLWUZCVK4MXLWIB6H2PWSQKHJTA,6,166,1109,176,381,552
AF6XCN7EPYNIO24FJRNV3KOFI3QA,6,170,913,150,311,452
AHY33GMV66E2L2OGPPLIZ3IDCUYA,6,179,1315,215,446,654
AEIRN72SL3Y2Q5T3BFR7STZDZI5A,6,184,1217,204,447,566
AFWAQN3ITXKIYH3ZEARLO7PJLINQ,6,168,1314,210,469,635
AF2ADBMCXOYFWR4FENJGSO5NBRBQ,6,184,1235,215,452,568
AF4GIVSP5XNFHPDX2IOFMUQ3EAIQ,6,186,1061,198,402,461
AFO7DHIAAH6SJFY27S7ANI2NIZ6Q,6,181,1307,212,456,639
AHID5S4JG4RV2QIELUKZX4VYTJ3Q,6,170,862,138,300,424
AF3HOFY5T4LHGCCWXV5TUVVIVKHQ,6,169,1048,175,357,516
AHB5KUPK5G3TCAYG5FVU6FZTZNXA,6,170,1035,159,382,494
AFBICRUSD4PB7Q7X4WMX7SHEZZKA,6,164,1387,232,508,647
AFYUZU3JAPLETO7EEBA6BOU2RJSQ,6,170,1134,183,390,561
AEVJRHZZOSWCWC4IVTH2QPPG775A,6,174,1165,193,395,577
AHJ4YK5CHZQ4QJZUNNKZVOMDKTVA,6,161,1110,191,370,549
AGCJCB57J5PDFKTMK4V6ZYIMIZGA,6,164,1094,179,371,544
AHKB2DDGDMX3ISA753Q2BBM574KQ,6,186,1065,171,364,530
AEGSMK2RONJ4PU4US54TRRMINDIA,6,168,1153,204,421,528
AHVBTWB5RQY6XBD4GK6L7N5NFKUA,6,181,1366,216,488,662
AE2QK2SWUQAGG54GHQDJUREN3DRA,7,207,1395,223,512,660
AHFGCYK6JXYXSTJFMC2FF7R3IXFQ,7,230,1328,211,471,646
AGOL4YVNGWMNV5WJWSA4IRBTSZ4A,7,220,1181,189,402,590
AGZMKHWSCB3UXDGFUPFRZSL4EAWQ,7,236,1058,158,378,522
AG43PBRTELK3SL3WWPB6CEKFXVPA,7,233,1446,234,516,696
AG5XM7RKRNHXZU7NZAVS72AWEKQA,7,189,1090,176,390,524
AHA5MSNKUQADZA6E7UAMRHJ3LOSQ,7,199,1092,173,371,548
AE75RQ5THMDYEJUAYOJZHODWFMMQ,7,220,1389,206,497,686
AFD3QKEFR4QC5A77SE52O634AH6Q,7,201,1131,187,392,552
AEBDUTDUTBCJ5DRNRYF5OE5MTPPA,7,216,1277,206,433,638
AEV7Q27IHW3CU2NGA5NMHVHTLIAQ,7,223,1418,229,513,676
AEKBPFBX43IZ5DPNC5JU7NSRZ7FA,7,202,1662,266,605,791
AE4DQHMACKSMM65GRIU77B25OC4Q,7,190,1389,236,479,674
AHUWQT5AKAF6WGOBNGDXSH5QLBXQ,7,192,1018,158,367,493
AEC26YK5DEVHDZ6CSRFPRNWERT3Q,7,230,1390,234,507,649
AFNCHMAKUAJOGVCKOA4XGLINHPDQ,7,196,1281,210,474,597
AEV53RCOPMQNNAYIDOT6K26HPCGQ,7,196,1066,167,388,511
AHVDFCOEVNZ4WGIXXFLA6RSETHRQ,7,204,1453,247,519,687
AGYIKU5EKQ3CNUOGBYBAJXALPVZQ,7,230,1059,175,382,502
AHS4PZFYYBOPFTPEMD2NEQZ4LMIA,7,204,1090,179,383,528
AHGAZLFSLXF427HSFBTRKF6J5UOQ,7,191,1345,212,472,661
AGWUPUBODLPBDOKF7WR3NZLSQIXQ,7,208,1221,199,445,577
AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,7,220,1121,184,381,556
AH3EIX5R7MWRNMAOUAC3M2BIM7NQ,7,190,1333,218,476,639
AGZFC4267K7DXCAQPVQEXJHFUEWA,7,188,1187,196,409,582
AHLASMY7HPI5ACTI3XRP2DDHUOTA,7,215,1204,217,429,558
AEKSI575UP7LPD4NUWJFI53IFV3Q,7,220,1419,239,536,644
AGNVKXHFTQ5WSP7TRRLSTH5APJNA,7,188,1119,180,383,556
AHU5CEFMHIARA3FUDNNHQJTVKEDA,7,198,1506,248,560,698
AFBYL2QEG462L2MLUCBRDZS7VWTA,7,205,1085,176,369,540
AEDTSN4EJBDRNO3U75QDDYLJTJ4A,8,264,1536,244,541,751
AH2IB5VEDFNG2HMMS3WYXO4JYZMQ,8,284,1361,215,505,641
AHQQJATBFWW5TORPLQ4LQOGXKIWQ,8,256,1031,161,375,495
AGLBN3MINRB7262SANHMPBSRLVXA,8,283,1617,261,571,785
AH2IJABKXWIZIO2FYJXNFEXNRR6A,8,255,1527,239,584,704
AGADKXWLAJJ4FGWIDIWAPJL5A6HA,8,315,1734,267,624,843
AGDU4N5YF4PWUEJSUPMJUGYYJLSQ,8,273,1158,192,426,540
AFTZWAK3ZHAPCNSOT5GCKQDECBTQ,8,334,1676,297,609,770
AEVEXKKEIOEM5OH3XGSVMUR3VGBQ,8,276,1238,196,467,575
AHDY5AR2HZ2ERNZYAHL4XNP6F4JQ,8,249,1092,170,398,524
AHVK6E5LV26567B2Z6JNDM336G2A,8,333,1642,262,575,805
AHSQMVRKFLYTKXI5UHFXISLOE46Q,8,239,1522,227,547,748
AGHE5YHUV2MJNLS7JH7VO3G6MFPA,8,258,1136,186,400,550
AFCI3PAVNMM3Q5CD3YYY5XZUYOIA,8,246,1346,210,465,671
AGK6P7T6FVUJW7W7Q5UJKJWF3NGA,8,307,1224,196,442,586
AHS5FPE6RHE4ITJ4SAVI67YVRNOQ,8,243,1006,158,361,487
AGDBPYOOBEMKUQXFFB6H4E657YAA,8,264,1318,202,469,647
AGWK5TRRULB7JGEHV6EM7D7JAU4Q,8,271,1586,250,582,754
AHW4RM32F7UDMQ5ETAMLLHIPSZHQ,8,348,1200,186,429,585
AFPPPZX2PLMWY75AVRTJSMICZOEA,8,333,1410,237,498,675
AGGVWJCNYRITT2IQMXPQBRXA2IPA,8,287,1526,245,529,752
AEP4KJDGBH6XPJKFEHPYSAPUNDBQ,8,257,1468,237,532,699
AERDCAMJOVIBWC7P3ZRCGDXSHBXQ,8,324,1425,232,506,687
AFFDJZ6EHOAFLE7WS4GZMLMIWMRA,8,243,1436,215,494,727
AFDDELZUNQV2UKYDUHJ27QW3IBLA,8,303,1502,248,532,722
AENEBO2ESDZSB3GSHROPTRBAN2VA,8,298,1615,239,599,777
AHOCOXJ7KQ7QW6J6SZITGMFK5IHA,8,338,1200,198,423,579
AEQ2P7WFOZXT2WM3WSFJPDWLXQAQ,8,345,1844,289,685,870
AFO33UNM62QYS3SHDST3HB2SXSXQ,8,296,1066,177,376,513
AHKOEEKH4SLCLEMAR5YCS4FKMS6A,8,294,1235,200,437,598
AF4IFF3OA55YOWXILYETWH57F7UQ,9,531,1853,281,660,912
AFR6N2JHAAWJLI5EJFQDENFMVVAQ,9,356,1520,241,521,758
AEYVPPWR4CIKWX4BGYKCBCDL2CZQ,9,626,1961,295,709,957
AE6JXZ2HEEC3RLKQ23MI2JSCXSNA,9,497,2003,321,750,932
AEHZBUFEOW4TY3K4IYFFR5ZU5B3Q,9,977,2305,346,863,1096
AF4YK6ETKIRQ36LYVR4YY3ZS4ANQ,9,366,1710,260,636,814
AFKZESU3PTCQ2UVDBDSFVFTXBFNQ_1,9,1177,1672,250,614,808
AHWJGIMDAMS4WBLZAGOYMXYDSDLA,9,576,1992,308,737,947
AFLOM6HXIM7CJECSEUDVO4I3JXBA,9,477,1506,224,532,750
AGH2BA6TQ43WVJL2HXW53TOBIWPA,9,434,2044,308,738,998
AHJYWQZ5PICKUZPXVE4HU7L5PE7A,9,660,2010,309,749,952
AEYRVFKM3PK3OWJQEK3U6RMFZ5ZQ,9,377,1664,265,587,812
AEDVEEUD4NZX7NYETDDN5N3HBJEA,9,1486,3509,556,1435,1518
AHEK757U7544PNGSDFCIKFN7NZDQ,9,435,1571,248,565,758
AGO22BUOE6AX3PRTYLVVQKPR4R7A,9,874,2307,359,837,1111
AFBR5VDMITJI24U5KZRYEPET3TJQ,9,430,1808,268,671,869
AHTCNFRA5SB5IVFQ2SICSGEBUILA,9,376,1606,253,567,786
AGEECCQF4MDXAP7RJDDPHK4U54FQ,9,398,1549,252,578,719
AEQXZCNKESE5KNCYCQZROO7GZRKQ,9,393,1633,265,604,764
AF5QVEMAHL2ZN7BTEQ2QXX6HJSMA,9,839,3230,502,1211,1517
AHSEGNS77TLPYIWMD7JKHV4VPTBA,9,465,1769,276,640,853
AGF6TCJ5DIUYHXKWWLFKAY2HUIXQ,9,740,1867,277,689,901
AECOPBDL3PHOESNB2RXKPZSXGBOA,9,1050,2507,365,971,1171
AGBYWW4V2ZDUCJGRQNQWLSCPPOVQ,9,362,1817,303,621,893
AE5INRAIGFDNXPWT5LNVJEEAAHBQ,9,1153,2288,348,864,1076
AG6M2OKNHLTZENAACVZFQL36XT2A,9,392,1809,283,657,869
AGXHFUENM3G65MN4BGET2DNU4IAQ,9,370,1470,228,530,712
AHV67OZ7EO5D6QX53S4BEXRQ6FHA,9,631,2128,313,771,1044
AGMCZMRV6MJ5SCCUIEILXUKJ66WA,9,758,2488,395,912,1181
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_2_1,9,623,1953,304,718,931
